Actual Distance,Laser Distance,Degree,Intensity,Error
0,-2,0,306,0
25,23,0,317,0
50,47,0,290,0
75,73,0,279,0
100,98,0,285,0
125,123,0,287,0
150,148,0,276,0
175,174,0,266,0
200,198,0,261,0
225,224,0,238,0
250,249,0,252,0
275,275,0,213,0
300,299,0,222,0
325,325,0,212,0
350,351,0,205,0
375,376,0,206,0
400,401,0,175,0
425,427,0,204,0
450,451,0,185,0
475,476,0,164,0
500,501,0,162,0
525,527,0,153,0
550,554,0,157,0
575,578,0,130,0
600,603,0,138,0
625,630,0,136,0
650,655,0,119,0
675,680,0,120,0
700,708,0,139,0
725,732,0,115,0
750,755,0,109,0
775,780,0,122,0
800,809,0,101,0
825,835,0,98,0
850,857,0,88,0
875,885,0,85,0
900,912,0,86,0
925,937,0,87,0
950,961,0,70,0
975,984,0,74,0
1000,1012,0,77,0
1025,1039,0,64,0
1050,1065,0,77,0
1075,1086,0,57,0
1100,1114,0,70,0
1125,1140,0,61,0
1150,1166,0,56,0
1175,1194,0,54,0
1200,1213,0,63,0
1225,1243,0,50,0
1250,1266,0,54,0
1275,1295,0,52,0
1300,1318,0,48,0
1325,1340,0,48,0
1350,1371,0,46,0
1375,1397,0,44,0
1400,1421,0,40,0
1425,1445,0,38,0
1450,1472,0,37,0
1475,1493,0,41,0
1500,1524,0,37,0
1525,1575,0,38,0
1550,1582,0,42,0
1575,1586,0,39,0
1600,1622,0,32,0
1625,1645,0,31,0
1650,1655,0,40,0
1675,1708,0,32,0
1700,1730,0,24,0
1725,1738,0,35,0
1750,1714,0,33,0
1775,1774,0,38,0
1800,1799,0,33,0
1825,1850,0,22,0
1850,1854,0,34,0
1875,1840,0,41,0
1900,1931,0,23,0
1925,1986,0,25,0
1950,1997,0,34,0
1975,2010,0,20,0
2000,2031,0,20,0
2025,2051,0,24,0
2050,2086,0,17,0
2075,2078,0,20,0
2100,2127,0,20,0
2125,2165,0,17,0
2150,2111,0,20,0
2175,2215,0,16,0
2200,2227,0,22,0
2225,2270,0,18,0
2250,2281,0,22,0
2275,2323,0,18,0
2300,2348,0,20,0
2325,2372,0,21,0
2350,2319,0,26,0
2375,2411,0,22,0
2400,2438,0,19,0
2425,2449,0,19,0
2450,2466,0,19,0
2475,2510,0,16,0
2500,2540,0,18,0
2525,2563,0,16,0
2550,2584,0,17,0
2575,2570,0,19,0
2600,2645,0,18,0
2625,2669,0,14,0
2650,2706,0,17,0
2675,2721,0,15,0
2700,2695,0,20,0
2725,2774,0,16,0
2750,2784,0,19,0
2775,2802,0,17,0
2800,2852,0,16,0
2825,2792,0,26,0
2850,2906,0,13,0
2875,2933,0,12,0
2900,2881,0,18,0
2925,2986,0,12,0
2950,3019,0,12,0
2975,3026,0,13,0
3000,3028,0,13,0
3025,3065,0,14,0
3050,3090,0,14,0
3075,3107,0,10,0
3100,3150,0,12,0
3125,3053,0,14,0
3150,3206,0,12,0
3175,3090,0,17,0
3200,3017,0,19,0
3225,3015,0,16,0
3250,3327,0,10,0
3275,3335,0,11,0
3300,3306,0,13,0
3325,3389,0,11,0
3350,3423,0,9,0
3375,3462,0,9,0
3400,3485,0,8,0
3425,3485,0,10,0
3450,3420,0,13,0
3475,3550,0,9,0
3500,3571,0,10,0
3525,3428,0,12,0
3550,3629,0,9,0
3575,3589,0,8,0
3600,0,0,0,8035
3625,0,0,0,8035
3650,0,0,0,8035
3675,0,0,0,8035
3700,3971,0,12,0
3725,0,0,0,8035
3750,0,0,0,8035
3775,3813,0,7,0
3800,3868,0,8,0
3825,3906,0,6,0
3850,3935,0,6,0
3875,3724,0,9,0
3900,3975,0,7,0
3925,4000,0,7,0
3950,4022,0,6,0
3975,4034,0,7,0
4000,4075,0,7,0
