Degree,Laser Distance,Intensity,Error,Actual Distance
0,1013,73,0,1000
0,986,77,0,975
0,962,74,0,950
0,938,80,0,925
0,912,91,0,900
0,884,92,0,875
0,861,88,0,850
0,836,94,0,825
0,810,102,0,800
0,785,96,0,775
0,758,113,0,750
0,735,104,0,725
0,711,105,0,700
0,683,125,0,675
0,656,118,0,650
0,632,129,0,625
0,606,154,0,600
0,581,145,0,575
0,556,158,0,550
0,530,165,0,525
0,504,180,0,500
0,478,181,0,475
0,454,178,0,450
0,430,207,0,425
0,403,186,0,400
0,378,214,0,375
0,352,224,0,350
0,327,202,0,325
0,303,222,0,300
0,277,229,0,275
0,250,254,0,250
0,225,296,0,225
0,201,250,0,200
0,176,294,0,175
0,150,286,0,150
0,125,292,0,125
0,100,306,0,100
0,74,286,0,75
0,50,299,0,50
