Actual Distance,Laser Distance,Degree,Intensity,Error
0,1,0,866,0
25,25,0,835,0
50,50,0,774,0
75,75,0,739,0
100,101,0,718,0
125,125,0,671,0
150,151,0,637,0
175,177,0,583,0
200,202,0,585,0
225,227,0,543,0
250,252,0,513,0
275,279,0,486,0
300,304,0,466,0
325,329,0,442,0
350,355,0,416,0
375,380,0,394,0
400,405,0,365,0
425,431,0,347,0
450,456,0,340,0
475,480,0,317,0
500,506,0,317,0
525,533,0,301,0
550,559,0,289,0
575,584,0,281,0
600,610,0,273,0
625,634,0,266,0
650,661,0,247,0
675,686,0,245,0
700,713,0,225,0
725,737,0,227,0
750,763,0,218,0
775,789,0,221,0
800,816,0,206,0
825,840,0,193,0
850,865,0,196,0
875,890,0,195,0
900,917,0,183,0
925,941,0,192,0
950,968,0,172,0
975,992,0,173,0
1000,1017,0,163,0
1025,1044,0,164,0
1050,1069,0,165,0
1075,1095,0,157,0
1100,1119,0,150,0
1125,1145,0,155,0
1150,1169,0,146,0
1175,1196,0,143,0
1200,1222,0,145,0
1225,1247,0,136,0
1250,1270,0,140,0
1275,1296,0,130,0
1300,1324,0,132,0
1325,1346,0,134,0
1350,1376,0,124,0
1375,1399,0,126,0
1400,1421,0,119,0
1425,1449,0,119,0
1450,1475,0,119,0
1475,1496,0,110,0
1500,1524,0,118,0
1525,1553,0,107,0
1550,1576,0,109,0
1575,1600,0,110,0
1600,1629,0,107,0
1625,1659,0,101,0
1650,1681,0,97,0
1675,1708,0,95,0
1700,1736,0,95,0
1725,1759,0,97,0
1750,1766,0,102,0
1775,1804,0,71,0
1800,1830,0,83,0
1825,1859,0,84,0
1850,1887,0,70,0
1875,1907,0,72,0
1900,1936,0,76,0
1925,1948,0,79,0
1950,1986,0,66,0
1975,1999,0,69,0
2000,2047,0,69,0
2025,2050,0,71,0
2050,2072,0,62,0
2075,2114,0,58,0
2100,2144,0,59,0
2125,2159,0,65,0
2150,2193,0,50,0
2175,2217,0,61,0
2200,2248,0,57,0
2225,2264,0,56,0
2250,2291,0,56,0
2275,2318,0,51,0
2300,2344,0,55,0
2325,2376,0,57,0
2350,2389,0,46,0
2375,2413,0,51,0
2400,2439,0,51,0
2425,2469,0,54,0
2450,2503,0,53,0
2475,2511,0,37,0
2500,2536,0,48,0
2525,2546,0,42,0
2550,2580,0,36,0
2575,2598,0,43,0
2600,2651,0,36,0
2625,2687,0,45,0
2650,2693,0,37,0
2675,2744,0,38,0
2700,2761,0,30,0
2725,2774,0,34,0
2750,2802,0,32,0
2775,2782,0,35,0
2800,2852,0,28,0
2825,2862,0,27,0
2850,2919,0,31,0
2875,2919,0,30,0
2900,2949,0,28,0
2925,2972,0,28,0
2950,2992,0,29,0
2975,2957,0,33,0
3000,3053,0,25,0
3025,2957,0,29,0
